Message_body,Label,Id
Me too. Mark is taking forever to pick up my prescription and the pain is coming back.,0,749
"Thanks, Atomic number 53 ' ll hold that in mind",0,1256
I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?,0,828
Aesculus hippocastanum state did you accuse camera,0,1363
Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...,0,423
Yup... I havent been there before... You want to go for the yoga? I can call up to book ,0,430
Why did I wake up on my own &gt;:(,0,72
"I can. But it will tell quite long, cos i haven't finish my film yet...",0,266
Saw Guys and Dolls last night with Patrick Swayze it was great,0,771
"Best monosodium glutamate: Data engineering science ' s hard to exist with a mortal, when u have it away that 1 more than footfall foward will make u fall in love. . & amp; Nonpareil step back can ruin ur friendship. . good nox: - ). ..",0,1370
Oh you got many responsibilities.,0,459
You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,1,530
1 dont give birth a go at it precisely could you ask chechi.,0,1408
So when do you wanna gym?,0,231
"Peerless retain see weird sob and bein all "" woah "" then actualize information applied science ' s in reality sensible and Ane ' m all "" oh """,0,1224
"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",0,698
Sounds like there could be a lot of time spent in that chastity device boy ... *grins* ... Or take your beatings like a good dog. Going to lounge in a nice long bath now ?,0,676
In other news after hassling me to get him weed for a week andres has no money. HAUGHAIGHGTUJHYGUJ,0,465
"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties...",1,618
U still havent got urself a jacket ah?,0,27
WOT STUDENT DISCOUNT CAN U GET ON BOOKS?,0,366
"Sorry, I'll call later",0,147
"What i mean was i left too early to check, cos i'm working a 9-6.",0,607
"Didn ' tetraiodothyronine attempt, g and I decided non to go out",0,1190
Not..tel software name..,0,900
"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it.",0,610
You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99,1,46
I'm on the bus. Love you,0,941
Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,1,988
I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs,0,45
THANX 4 PUTTIN DA FONE DOWN ON ME!!,0,1028
JADE ITS PAUL. Y DIDNT U TXT ME? DO U REMEMBER ME FROM BARMED? I WANT 2 TALK 2 U! TXT ME,0,588
either way unrest for maine. I am & lt; # & gt; twelvemonth quondam. Extend for that doesnt hassle you.,0,1192
"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please ",0,389
Dont let studying stress you out. L8r.,0,581
"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",1,978
I am in bus on the way to calicut,0,617
**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270,1,704
Oh wow thats gay. Will firmware update help,0,933
Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,1,33
Aiya we discuss later lar... Pick ü up at 4 is it?,0,485
"I'm in a meeting, call me later at",0,934
"Dunno, my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor...",0,522
"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",1,979
No. I dont want to hear anything,0,50
Urgent! Please call 09061213237 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+,1,277
Ohio. .. Okie lor. .. We travel on sat. ..,0,1421
U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,1,987
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,1,971
Of path. Iodine surmise god ' s precisely get nether one ' s sputter pine tree country on hold correct hand now.,0,1276
Spending new years with my brother and his family. Lets plan to meet next week. Are you ready to be spoiled? :),0,587
Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,0,752
You have to pls make a note of all she.s exposed to. Also find out from her school if anyone else was vomiting. Is there a dog or cat in the house? Let me know later.,0,678
Hi. Hope you have a secure xxiv hr time interval. Get a better night.,0,1097
Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with,0,19
"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins",0,881
"Haha, that was the first person I was gonna ask",0,667
Did u got that somebody indite up,0,1085
10 course information technology 2yrs. Just so her messages on courier lik you r send maine,0,1186
Hey gals...U all wanna meet 4 dinner at nìte? ,0,550
Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.,0,323
individual! Your 2003 Invoice Statement for 07808247860 shows 800 un - redeemed S. Unity. M. halt. Visit 08719899229 Identifier Codification: 40411 Exhale 06 / eleven / 04,1,1325
"Like  &lt;#&gt; , same question",0,414
Uracil R THE MOST BEAUTIFUL GIRL IVE EVER SEEN. Uracil Radius MY BABY COME AND Nose candy pine tree state IN THE COMMON manner,0,1298
Rats. Hey did u ever vote for the next themes?,0,734
"SIX chances to win hard currency! From 100 to xx, 000 hammering txt> CSH11 and situation to 87575. Price 150p / day, 6days, 16 + TsandCs apply Response hectolitre 4 information",1,1284
Sorry alone forgot * leave pop em round this calendar week if your still hither?,0,1378
